raw_id,idAbonnement,idFournisseur,titreAbonnement,descriptionAbonnement,prixAbonnement,categorieAbonnement,date_extraction,source_system
120,ABN00120,FRN0040,La liberté d'avancer de manière sûre,"Plan or remarquer mémoire. Manier indiquer abri plaine.
Debout plutôt résistance lèvre soi. Profondément maladie douceur rêve.
Volonté françois soirée. Étonner bleu bon. Confiance claire soudain.",45,MUSIC,2025-03-24 07:26:32,Legacy_DB
121,ABN00121,FRN0013,Optimized local service-desk,Age so coach with music if. Recently high system policy. Paper experience itself trouble card.,40.55,streaming,2025-04-14 00:45:29,Mobile_App_v2
122,ABN00122,FRN0018,Universal system-worthy strategy,"There describe model meeting police rock along. Point article article drop give.
Future reach street course plant billion middle. Local leader good anyone among. Billion idea use.",36.2,Cloud Storage,2025-03-24 09:20:59,Mobile_App_v2
123,ABN00123,FRN0004,Programmable interactive budgetary management,"Lequel bois prouver sommet fin.
Coeur yeux couper nourrir mériter. Papa tendre armer beau double transformer créer tête.",31,TELECOM,2025-05-26 21:06:21,CRM_System
124,ABN00124,FRN0031,La possibilité d'innover plus rapidement,"Number step history green save miss professional. Including live among fly.
Wide movie heart eight poor attack.",52,TELECOM,2025-04-23 23:32:41,CRM_System
125,ABN00125,FRN0009,Robust demand-driven ability,Sable envoyer façon accrocher casser court hasard. Essuyer colon carte interroger combat.,8.63,FORFAIT APPEL CONX,2025-02-09 07:13:23,CRM_System
126,ABN00126,FRN0013,Adaptive coherent toolset,Jeune remercier mari jouer secours. Honte genre société. Confier dur affaire.,57,Cloud Storage,2025-04-11 02:07:02,CRM_System
127,ABN00127,FRN0038,L'assurance d'atteindre vos buts à l'état pur,"Citizen stay condition senior involve. Specific develop first point specific report clearly. Themselves have feel blood.
Sound level couple. Movement nor line.",EUR 90.47,streaming,2025-04-02 16:25:27,CRM_System
128,ABN00128,FRN0033,User-friendly web-enabled budgetary management,Fall five really lose mean hope ability. Article kind bar available still respond everything cover.,43.3 €,Cloud Storage,2025-05-03 12:11:32,Mobile_App_v2
129,ABN00129,FRN0012,Phased bi-directional implementation,"Réussir pointe exemple haïr position descendre.
Beau as camarade frère. Saint fixer absolument toujours d'abord. Après traverser roman maintenant devoir renverser.",12.98,CLOUD,2025-01-21 19:17:39,Mobile_App_v2
130,ABN00130,FRN0030,L'art de changer de manière efficace,Fait autour jambe façon. Voisin pouvoir franchir rester défendre sol oser.,58.25,STREAMING,2025-01-27 13:36:27,CRM_System
131,ABN00131,FRN0011,Le droit de concrétiser vos projets avant-tout,"Its sign I lay fast parent rich help. Crime single administration past happen. View style war worry.
Cultural learn customer reason camera because. Set during perhaps actually. Gun expect public.",22.34,MUSIC,2025-01-20 02:57:09,Manual_Entry
132,ABN00132,FRN0013,La possibilité d'avancer avant-tout,"Choix si passage reconnaître roi. Claire puissance agir écrire éclat rayon semaine. Relation goût inconnu chant existence herbe.
Courant salut inquiéter expression révolution rappeler jeune.",12.72 €,CLOUD,2025-02-20 19:23:48,CRM_System
133,ABN00133,FRN0013,Persistent global policy,Classe commun différent. Politique franc chef humain mieux science. Horizon grandir chair.,EUR 31.5,MUSIC,2025-02-21 02:48:59,Web_Form
134,ABN00134,FRN0024,L'avantage de changer plus facilement,"Truth data five medical research group thus. Cost exist idea now stand his wife represent. World hold exist story speech age.
Wall wear realize stage. Interest chair million financial much enough.",EUR 46.76,TELECOM,2025-01-12 04:07:46,Manual_Entry
135,ABN00135,FRN0038,Digitized modular budgetary management,Role these receive cup doctor. Suddenly travel high require strategy customer. Become around reveal.,"21,2",MUSIC,2025-02-20 23:23:42,API_Import
136,ABN00136,FRN0019,L'art de changer en toute tranquilité,"Réserver porte trésor occuper chasse couleur.
Vaincre envie si grave. Remplacer enfermer point quant à fumer. Quand lèvre soumettre lever.",99.41 €,CLOUD,2025-05-18 03:29:23,Manual_Entry
137,ABN00137,FRN0014,L'art de concrétiser vos projets autrement,Individual because show hour move poor. Small bank world purpose investment at table.,EUR 75.6,MUSIC,2025-04-28 19:38:50,Legacy_DB
138,ABN00138,FRN0030,Organized regional middleware,"Behind once by final. Paper listen impact tell positive serious.
Speech interview real better manager huge. Probably my when important.",50,CLOUD,2025-03-25 22:27:22,Mobile_App_v2
139,ABN00139,FRN0023,Le droit d'avancer autrement,"Rendre ciel sourd faute. Distinguer métier mur dehors femme.
User accord neuf rideau considérer surprendre. Vous vivant rester adresser vrai succès.",58.56,MUSIC,2025-03-26 11:09:35,Legacy_DB
140,ABN00140,FRN0011,Organic multimedia solution,"Now reach language. Beat house stage college nearly political. Whose a fact on space not blood.
Performance lose charge follow owner many. Agent stuff treatment hard score. First under truth.","22,78",streaming,2025-02-07 16:11:24,Web_Form
141,ABN00141,FRN0026,Object-based grid-enabled website,"Mouth bag box with moment always their. Similar above owner energy organization police.
Night threat glass leg anyone do admit. Operation adult big theory. Plant as medical structure already every.","61,39",TELECOM,2025-03-28 12:52:16,Web_Form
142,ABN00142,FRN0015,L'art de rouler de manière efficace,Couche conscience se connaissance terre ferme de calme. Circonstance doute heureux violence terrain accent.,34,STREAMING,2025-04-07 19:03:39,Legacy_DB
143,ABN00143,FRN0011,Sharable dedicated adapter,Size toward prepare interest employee. Later dream war same explain agent speak.,EUR 59.86,streaming,2025-05-08 05:59:44,Manual_Entry
144,ABN00144,FRN0022,Optimized neutral monitoring,"Mauvais bataille supérieur caractère. D'Autres pensée égal relever rouge attacher. Prison ici pays saisir ignorer colon.
Ville noir discussion quoi ni aimer. Lisser même élever.",94.57,STREAMING,2025-01-02 23:40:23,Mobile_App_v2
145,ABN00145,FRN0010,L'avantage d'évoluer sans soucis,"Until method program their media skill. Scientist director vote good natural investment civil. Story democratic without stop military drive.
List modern above meet participant during significant.",18.44 €,MUSIC,2025-01-10 00:30:26,Mobile_App_v2
146,ABN00146,FRN0010,Le confort d'avancer avant-tout,Note recent land trip majority. Suddenly opportunity especially small. Project wide above no agreement instead. Next go great put ready player.,74,TELECOM,2025-02-28 02:48:24,Mobile_App_v2
147,ABN00147,FRN0014,L'avantage de rouler en toute tranquilité,"Mort angoisse debout surprendre étrange contre court. Vaincre derrière auquel.
Tantôt révolution étendre vieillard calme sourire. Voisin droit retirer poitrine anglais.","57,23",Cloud Storage,2025-04-15 12:57:59,Legacy_DB
148,ABN00148,FRN0009,Synergized discrete definition,Teach serve could something right beyond central prevent. Ahead year cold group those stage chance. Subject herself consumer property book anything.,"14,1",TELECOM,2025-05-06 06:25:41,Mobile_App_v2
149,ABN00149,FRN0005,L'assurance d'avancer plus facilement,Hier espace nuage enfance. Objet cesser asseoir chaque vers foule avancer importer. Faute circonstance tapis fils nous soit passer mon. État voie blanc cerveau forcer avant découvrir.,EUR 74.39,FORFAIT APPEL CONX,2025-01-31 17:54:50,Manual_Entry
150,ABN00150,FRN0024,L'art d'évoluer en toute tranquilité,"Combat bras événement défaut erreur. Ennemi doigt problème.
Naturellement branche demeurer selon. Seuil jouer nommer pas digne oeil cent.",EUR 26.06,CLOUD,2025-03-02 17:07:19,API_Import
151,ABN00151,FRN0009,Versatile systemic definition,Éloigner meilleur larme. Larme figurer moyen vendre souhaiter rassurer.,"91,89",MUSIC,2025-05-14 17:17:04,CRM_System
152,ABN00152,FRN0019,Persevering tangible alliance,Perte rencontrer exprimer tombe. Quand avis nez comme cinquante connaissance. Accorder briller connaissance protéger pièce partir.,EUR 37.26,FORFAIT APPEL CONX,2025-03-23 03:27:26,Manual_Entry
153,ABN00153,FRN0034,L'assurance d'avancer en toute tranquilité,"Cost suddenly indeed customer kind history young. Suffer property store hear.
Set either big send. Message moment memory. Hot add perform arrive number base.",83.02,FORFAIT APPEL CONX,2025-02-03 15:22:21,CRM_System
154,ABN00154,FRN0011,L'avantage de rouler de manière sûre,"Sit still most new whatever. Maybe sure bed factor charge.
Part drug fear animal quickly need. Blood effort likely short kid.",EUR 67.31,MUSIC,2025-01-03 14:39:25,API_Import
155,ABN00155,FRN0028,Seamless holistic definition,"Rate talk professor. Low budget politics fly impact raise boy pull.
Call tough whether speak travel degree class born. Center pass season room major star. Church order east note.",53.16,CLOUD,2025-05-22 13:21:57,Legacy_DB
156,ABN00156,FRN0024,Configurable holistic customer loyalty,Fonder sauver heureux chacun fort dire. Sans arrivée naturel gros conscience jardin. Paysage agir dégager avance quand. Moyen descendre recueillir masse.,"81,23",Cloud Storage,2025-01-28 21:04:00,Mobile_App_v2
157,ABN00157,FRN0025,Centralized eco-centric focus group,"Peser ensuite douze ça politique genou seigneur. Vif sombre foi dame maître travailler acheter. Entrer inconnu couleur goutte histoire grâce chaud.
Course sol couche fuir. Patron respirer dieu.",85.2,MUSIC,2025-03-03 17:02:12,CRM_System
158,ABN00158,FRN0030,Business-focused 24/7 workforce,"Capital position score. During manager party thought seat finally get.
Organization me laugh however. Possible answer across sit small.","23,77",STREAMING,2025-03-17 09:53:44,Legacy_DB
159,ABN00159,FRN0024,Reactive static capacity,"Jambe geste terrible an silence craindre. Occuper condition vieux route souffrir. Inutile signifier bois mer.
Second le ou contenir.
Appel comme minute hiver. Rejoindre avec lentement danger étendue.",EUR 51.51,FORFAIT APPEL CONX,2025-03-28 16:24:30,Mobile_App_v2
160,ABN00160,FRN0027,L'assurance d'avancer à l'état pur,"Nous décider songer.
Jeunesse trésor compagnon foi doute entendre. Occasion sec ancien rentrer jardin avec plante armer. Sentir partie quand école image vague main. Crise arrêter propos baisser rang.",69.12,FORFAIT APPEL CONX,2025-02-03 12:00:58,Mobile_App_v2
161,ABN00161,FRN0026,Le droit d'atteindre vos buts de manière efficace,"Face rang grandir essuyer année. Hier terme non descendre allumer.
Pitié aile franchir précis souvenir cas. Confondre connaissance fuir signer. Patron remonter oser rejoindre ici paysage gros.",8.38 €,MUSIC,2025-01-14 22:00:39,CRM_System
162,ABN00162,FRN0023,Le pouvoir de rouler à sa source,"Beyond each heart beyond financial chance.
Movement natural gun door all. Science rate baby sell hit business sister.","51,88",Cloud Storage,2025-01-10 18:40:01,API_Import
163,ABN00163,FRN0030,La liberté d'innover sans soucis,"Lead its especially. The agree pressure mouth parent bit. Learn more ball body sit.
Enter politics gun various inside line pattern general. State outside law material door land.",28.19,STREAMING,2025-01-27 19:21:40,Mobile_App_v2
164,ABN00164,FRN0025,Le plaisir de concrétiser vos projets de manière efficace,"Name system local expert yeah. Role design pretty response.
Which few skin though compare interest. A week book south indicate.",89,Cloud Storage,2025-03-15 05:26:56,CRM_System
165,ABN00165,FRN0017,Public-key non-volatile info-mediaries,Total until describe necessary single discuss agreement. Detail raise turn direction rock real bad. Office Congress weight single religious way. Product cold various himself.,37.09,TELECOM,2025-01-11 08:59:38,Legacy_DB
166,ABN00166,FRN0035,La liberté d'atteindre vos buts de manière sûre,Quality moment rock student minute edge. Local expect pass person arm claim than. Make book national important.,80.4 €,Cloud Storage,2025-03-13 04:07:21,CRM_System
167,ABN00167,FRN0012,Multi-channeled local conglomeration,Soi poitrine heure froid court secret reconnaître. Recueillir musique venir supposer affaire contraire.,EUR 77.27,streaming,2025-05-25 15:14:09,Manual_Entry
168,ABN00168,FRN0014,Versatile intangible benchmark,"Figure improve maintain night audience off through moment. Possible thought apply most way recently box debate. Matter international management.
Boy develop worker create. Sort drug like technology.",9.35,TELECOM,2025-04-14 23:54:03,Legacy_DB
169,ABN00169,FRN0007,Le plaisir de changer avant-tout,Serve buy loss everything run page child. Since throughout black speak attorney outside. Follow thing at school. Story test today toward blood.,31.1 €,MUSIC,2025-02-15 09:22:24,CRM_System
170,ABN00170,FRN0030,La liberté de rouler plus rapidement,"Hope simply owner across sign like. Miss say simple perform practice investment.
Think often let picture trip allow. Painting compare blue low simply could practice set.",63,FORFAIT APPEL CONX,2025-02-24 19:30:21,Manual_Entry
171,ABN00171,FRN0021,Advanced tertiary contingency,"Practice position same war. Read modern social return.
Purpose early safe its final add. Between so face collection set need table.
Church evidence speak. Account over keep go thus before.",EUR 50.18,TELECOM,2025-01-27 01:34:51,Legacy_DB
172,ABN00172,FRN0025,L'avantage d'atteindre vos buts naturellement,"Nuit attitude étage masse content fait.
Clef yeux dehors tendre quel douleur repousser. Pouvoir repas pourquoi. Installer masse garde libre. Fine fermer passé.",EUR 52.4,FORFAIT APPEL CONX,2025-04-23 19:16:39,CRM_System
173,ABN00173,FRN0006,La liberté d'avancer avant-tout,"Travailler remercier calmer article nuit.
Parmi apporter souffrir courant loup matière. Passé soirée silence il frais maladie objet.",59.27 €,Cloud Storage,2025-02-28 06:28:59,API_Import
174,ABN00174,FRN0040,Le pouvoir d'avancer à sa source,Range perhaps meet station. Team property start audience poor five. Pattern Congress official wrong along whatever.,8,MUSIC,2025-04-27 11:27:38,API_Import
175,ABN00175,FRN0036,Le plaisir d'évoluer de manière sûre,Fois affirmer anglais cesser âgé par. Assez rassurer complètement toit corde table discours. Dame revenir figure pendre passion.,"7,22",MUSIC,2025-04-16 04:48:44,Legacy_DB
176,ABN00176,FRN0014,Versatile content-based portal,"Soldier situation figure exactly piece chance able interesting.
Seat establish course south purpose much discover. Either line bill whatever money.",17.51 €,STREAMING,2025-02-13 06:27:28,API_Import
177,ABN00177,FRN0036,Realigned scalable model,Participant these TV such tend eat. Southern painting whether exist decide over. If and leader sort mission above seven. Future carry meet lay various worry science particular.,"98,52",CLOUD,2025-05-28 07:52:47,Web_Form
178,ABN00178,FRN0021,Extended multi-tasking firmware,Désir confondre tellement montrer françois rose. Désormais ferme réclamer abandonner. Depuis énorme sens suffire en.,15,streaming,2025-05-19 07:33:34,API_Import
179,ABN00179,FRN0029,Le pouvoir de concrétiser vos projets sans soucis,Froid neuf certain naturellement mon joue temps. Chaîne arracher deviner odeur. Connaître vendre moins cercle fils fort. Troubler monter froid contenir étendue on nombre.,86.61 €,TELECOM,2025-05-19 23:58:57,Web_Form
180,ABN00180,FRN0007,L'avantage d'avancer plus facilement,"From lose grow it. A full myself measure want rather. Man fall none rich Congress exist.
Particular policy itself military affect with. Food training population sit impact.","77,48",streaming,2025-02-16 17:49:28,Manual_Entry
181,ABN00181,FRN0040,Le pouvoir de rouler de manière efficace,"Eaux armer violence précéder.
Seigneur projet trésor vague. Que peu seulement sombre public. Autorité élément âgé l'un moyen entendre table.",26,streaming,2025-04-21 17:27:13,CRM_System
182,ABN00182,FRN0037,Public-key fresh-thinking strategy,Season sense themselves feeling yeah author. Set economic positive of serve imagine. Test provide cultural mention determine result be.,"35,88",Cloud Storage,2025-04-05 01:50:13,CRM_System
183,ABN00183,FRN0033,Le pouvoir d'avancer sans soucis,"Model serve any democratic foreign chair. Section democratic fight example pick. Idea sit help school each.
Author white cultural he quickly become research. Large detail buy.",7.16 €,TELECOM,2025-02-20 16:26:08,Web_Form
184,ABN00184,FRN0013,Le confort de rouler à l'état pur,Sport enter many significant hear evening expert. Wait stuff require catch government. Land least effect stay agree. Live letter newspaper example enter.,EUR 27.73,MUSIC,2025-03-13 20:25:31,Mobile_App_v2
185,ABN00185,FRN0029,La possibilité d'évoluer de manière efficace,"Peser descendre traîner horizon front bois mal. Espace jeune rassurer pénétrer puis ventre écarter.
Désigner travailler justice casser coeur.",7.93 €,TELECOM,2025-01-15 05:29:03,Web_Form
186,ABN00186,FRN0011,Intuitive web-enabled leverage,"Arrive open small poor another. School someone head ground media.
Reveal gas moment when four. Half garden Congress customer quality walk.",52.52 €,FORFAIT APPEL CONX,2025-03-23 19:56:14,Manual_Entry
187,ABN00187,FRN0031,Le plaisir d'évoluer de manière efficace,"Outside she maybe option. Street year beautiful big thought maybe.
I baby role like interesting. Member shake impact main. Exactly left on.","69,3",STREAMING,2025-01-29 11:15:53,Legacy_DB
188,ABN00188,FRN0035,L'avantage d'avancer sans soucis,"Firm study quite. Movement company choose effect great describe because home.
Machine late during necessary study.
Run matter cold lay ten still able. Paper example admit today them coach.",95.97,FORFAIT APPEL CONX,2025-02-08 12:01:58,Legacy_DB
189,ABN00189,FRN0003,Expanded high-level archive,Across green hear environment war. Significant movement bad decide perform money. Half cold budget nearly foreign theory southern.,EUR 82.11,FORFAIT APPEL CONX,2025-04-11 03:02:23,Manual_Entry
190,ABN00190,FRN0017,Virtual regional conglomeration,"Day take onto find several occur natural. Run yeah whether.
Term country camera parent staff. Trip bill part have leg.
Subject save big. Middle choice toward far.",15,TELECOM,2025-04-05 00:54:17,CRM_System
191,ABN00191,FRN0031,L'assurance d'évoluer de manière sûre,"Dos horizon mer à doigt. Ajouter raconter marcher soirée remercier enfin.
Poste intérêt entendre. Autour intérieur anglais tête mille renverser exiger joindre.",39.81 €,CLOUD,2025-02-27 15:20:24,CRM_System
192,ABN00192,FRN0017,L'art de louer à la pointe,"Entendre sec difficile prison. Folie faible observer car fort paysage sable abri.
Noir suite rêve. Ensemble endroit matière vivre vouloir.",EUR 48.53,CLOUD,2025-01-02 23:49:40,Manual_Entry
193,ABN00193,FRN0009,La liberté d'innover à l'état pur,"Mouth public between answer yourself science. Pass field should floor image style. Down song for though build next.
Opportunity center voice tax our game area fill. Various true sound age.",79.8 €,streaming,2025-04-08 18:17:00,Mobile_App_v2
194,ABN00194,FRN0011,De-engineered coherent software,"Green point color site structure nothing high. Air cover even of.
Action notice cause. Manage set necessary lay region citizen.
Whether produce tree.",34,Cloud Storage,2025-05-15 15:21:11,Mobile_App_v2
195,ABN00195,FRN0010,Stand-alone 3rdgeneration strategy,"Way human south analysis need community very consider. Industry grow feel.
Later source realize parent game. Age that play will once form hot reach. Along too forget subject issue.",71,CLOUD,2025-03-17 14:30:56,Legacy_DB
196,ABN00196,FRN0001,La liberté de concrétiser vos projets à la pointe,Cheveu entier oh. Beaucoup table dresser hasard obéir soit. Etc général couleur toute odeur.,EUR 85.84,CLOUD,2025-05-08 23:10:17,Manual_Entry
197,ABN00197,FRN0023,Business-focused intangible project,Secret saint parfaitement violence soir avenir couler. Roche feu billet marier.,87.67 €,streaming,2025-01-25 20:24:56,API_Import
198,ABN00198,FRN0034,L'assurance de concrétiser vos projets à sa source,"Age because best risk cover him two lot. Everyone send total bag officer address meeting debate.
Task minute something she role. Collection responsibility face available represent business least.","51,1",MUSIC,2025-04-10 03:15:20,Legacy_DB
199,ABN00199,FRN0015,Virtual multi-state initiative,Security including son here produce or coach. Professional their city town response too set. Money child health among. Method interview road race story machine important.,6.35 €,CLOUD,2025-05-01 21:46:15,API_Import
200,ABN00200,FRN0001,La possibilité d'évoluer à l'état pur,Mr leader everybody whom ask. Wife history thought up investment. Set stuff present so peace interesting.,49,MUSIC,2025-02-08 04:37:28,Manual_Entry
